review_id,date,score,lessor,agency_name,property_type,weekly_price,n_bedrooms,suburb,review_text
11,2023-02-05 22:45:00,1,Agency,Century 21 Australia,Flat/Unit,140,1,Newtown,"Poor communication, persistent pests, and lease violations made my time in this apartment incredibly frustrating. It's hard to feel at home when you're constantly battling against these kinds of issues."
12,2023-09-30 11:49:00,4,Agency,First National Real Estate,Flat/Unit,305,1,Redfern,No problems were encountered during my stay in this apartment. It provided a comfortable and hassle-free living environment.
13,2023-06-14 18:22:00,2,Agency,Professionals Real Estate Group,Flat/Unit,240,2,Newtown,I had no issues during my time in this apartment. It was a peaceful and enjoyable place to live.
14,2023-09-17 19:02:00,1,Private,,Flat/Unit,155,1,Newtown,"The property condition of this apartment left much to be desired. From water damage to structural defects, it felt like there were constant reminders of the apartment's shortcomings."
15,2023-11-30 05:00:00,2,Agency,LJ Hooker,Flat/Unit,220,1,Camperdown,"From maintenance issues to poor communication, this apartment had it all. It was disheartening to see such neglect from the landlord, and it made for a less than ideal living situation."
16,2023-02-23 08:33:00,5,Agency,First National Real Estate,Flat/Unit,400,2,Redfern,"Dealing with pests and lease violations made living in this apartment incredibly frustrating. It felt like the landlord wasn't holding up their end of the bargain, which made it hard to feel secure in my living situation."
17,2023-12-01 13:52:00,1,Agency,Century 21 Australia,Flat/Unit,185,1,Camperdown,"Pest problems and lease violations were ongoing issues in this apartment. It felt like no matter how many times I raised concerns, they were never fully addressed. It made for a rather stressful living environment."
18,2023-05-30 19:58:00,4,Private,,Flat/Unit,315,2,Camperdown,"The poor property condition and lease violations in this apartment were concerning. It felt like the landlord wasn't taking their responsibilities seriously, which made me question the long-term viability of living here."
19,2023-04-22 02:48:00,5,Agency,Professionals Real Estate Group,Flat/Unit,390,2,Redfern,"Pest problems, poor property condition, and lease violations made living in this apartment incredibly challenging. It felt like there was always something to worry about, which took away from the enjoyment of living here."
20,2023-12-10 06:35:00,2,Private,,Flat/Unit,250,2,Newtown,Dealing with pests and lease violations made my time in this apartment less than pleasant. It's hard to feel comfortable in a space where you're constantly battling against these kinds of issues.
21,2023-12-27 14:19:00,5,Private,,Flat/Unit,410,2,Redfern,"Pest problems and lease violations seemed to go hand in hand in this apartment. It was frustrating to deal with both simultaneously, and it made me question the landlord's commitment to maintaining a livable space."
22,2023-03-14 09:31:00,4,Agency,Belle Property,Flat/Unit,300,1,Redfern,No problems were encountered during my stay in this apartment. It provided a comfortable and hassle-free living environment.
23,2023-08-28 02:08:00,4,Agency,Professionals Real Estate Group,Flat/Unit,295,1,Redfern,"Lease violations were a notable issue in this apartment. It felt like the terms of our agreement were constantly being disregarded, which made me question the reliability of the landlord."
24,2023-02-08 18:20:00,5,Agency,Belle Property,Flat/Unit,325,1,Redfern,"Lease violations were a recurring problem in this apartment. It's frustrating when the landlord doesn't adhere to the terms we agreed upon, as it creates an atmosphere of uncertainty and distrust."
25,2023-08-25 22:23:00,3,Agency,Raine & Horne,Flat/Unit,265,2,Newtown,"Dealing with pests and lease violations in this apartment was incredibly frustrating. It felt like no matter how many times I raised concerns, they were never fully addressed."
26,2023-10-29 03:24:00,2,Agency,Harcourts,Flat/Unit,210,1,Camperdown,Pest problems and lease violations made living in this apartment challenging. It's disheartening when the place you call home is fraught with issues that seem to never be fully resolved.
27,2023-09-07 03:46:00,3,Agency,Ray White Group,Flat/Unit,260,2,Newtown,"From maintenance issues to pest problems and lease violations, this apartment had it all. It felt like there was always something to deal with, which made for a rather stressful living situation."
28,2023-06-01 21:49:00,1,Private,,Flat/Unit,185,1,Camperdown,"Pest problems, poor property condition, and lease violations made living in this apartment incredibly challenging. It felt like every aspect of my living situation was fraught with issues, and it left me feeling stressed and unsettled."
29,2023-05-20 10:28:00,4,Agency,McGrath Estate Agents,Flat/Unit,305,1,Redfern,"The poor property condition and lease violations in this apartment were concerning. It felt like the landlord wasn't holding up their end of the bargain, which made it hard to feel secure in my living situation."
30,2023-05-24 02:19:00,1,Agency,Ray White Group,Flat/Unit,145,1,Newtown,No problems were encountered during my stay in this apartment. It provided a comfortable and hassle-free living environment.
31,2023-08-03 15:43:00,5,Agency,RE/MAX Australia,Flat/Unit,395,2,Redfern,"Dealing with pests, poor property condition, and lease violations made living in this apartment incredibly challenging. It felt like every day brought a new set of problems to deal with."
32,2023-11-17 21:22:00,3,Agency,Harcourts,Flat/Unit,290,1,Redfern,"The poor property condition of this apartment was disappointing, to say the least. From moldy walls to structural defects, it felt like this apartment was far from meeting basic standards of habitability."
33,2023-12-05 04:19:00,4,Agency,Professionals Real Estate Group,Flat/Unit,310,1,Redfern,"Lease violations were a significant concern in this apartment. It felt like the landlord was constantly breaking the terms we agreed upon, which made me question their reliability and trustworthiness."
34,2023-01-20 11:38:00,1,Agency,LJ Hooker,Flat/Unit,155,1,Newtown,Pest problems and poor property condition made living in this apartment less than ideal. It's hard to feel comfortable in a space that feels neglected and overrun by pests.
35,2023-03-08 02:39:00,5,Agency,Harcourts,Flat/Unit,420,2,Redfern,"The maintenance issues in this apartment were frustrating to deal with. It felt like there was always something that needed fixing, which made it hard to fully enjoy living here."
36,2023-02-10 20:23:00,2,Agency,Harcourts,Flat/Unit,200,1,Camperdown,"Dealing with maintenance issues and lease violations in this apartment was frustrating. It felt like the landlord wasn't holding up their end of the bargain, which made it hard to feel secure in my living situation."
37,2023-03-12 08:58:00,3,Agency,Harcourts,Flat/Unit,290,1,Redfern,"The poor property condition of this apartment was disappointing. From worn-out carpets to outdated appliances, it felt like there was a constant battle against the aging infrastructure."
38,2023-05-07 03:57:00,2,Agency,Century 21 Australia,Flat/Unit,245,2,Newtown,"Pest problems, poor property condition, and lease violations made living in this apartment incredibly challenging. It felt like every aspect of my living situation was fraught with issues, and it left me feeling stressed and unsettled."
39,2023-07-04 09:03:00,1,Private,,Flat/Unit,155,1,Newtown,"Pest problems were a recurring issue in this apartment. It felt like no matter what measures I took, the infestation was never fully resolved."
40,2023-08-18 02:58:00,5,Agency,LJ Hooker,Flat/Unit,420,2,Redfern,No problems were encountered during my stay in this apartment. It provided a comfortable and hassle-free living environment.
41,2023-09-24 11:59:00,3,Agency,Belle Property,Flat/Unit,300,2,Camperdown,"Dealing with pests, poor property condition, and lease violations in this apartment was incredibly challenging. It felt like every day brought a new set of problems to deal with."
42,2023-11-21 00:00:00,5,Agency,Belle Property,Flat/Unit,410,2,Redfern,"The poor property condition of this apartment was disappointing, to say the least. From moldy walls to structural defects, it felt like this apartment was far from meeting basic standards of habitability."
43,2023-12-27 00:40:00,1,Agency,Ray White Group,Flat/Unit,150,1,Newtown,I had no issues during my time in this apartment. It was a peaceful and enjoyable place to live.
44,2023-08-30 06:42:00,5,Agency,Raine & Horne,Flat/Unit,395,2,Redfern,Dealing with pests and poor property condition made living in this apartment less than ideal. It's hard to feel comfortable in a space that feels neglected and overrun by pests.
45,2023-11-04 17:06:00,5,Agency,Century 21 Australia,Flat/Unit,385,2,Redfern,"Pest problems and poor property condition made living in this apartment challenging. It felt like the landlord wasn't taking their responsibilities seriously, which made me question the long-term viability of living here."
46,2023-10-11 04:56:00,2,Agency,Harcourts,Flat/Unit,245,2,Newtown,"From maintenance issues to pest problems and poor property condition, this apartment had it all. It felt like there was always something to deal with, which made for a rather stressful living situation."
47,2023-04-22 22:35:00,2,Agency,RE/MAX Australia,Flat/Unit,240,2,Newtown,"Lease violations were a significant issue in this apartment. It felt like the terms of our agreement were constantly being disregarded, which made me question the reliability of the landlord."
48,2023-11-15 18:02:00,2,Agency,Century 21 Australia,Flat/Unit,250,2,Newtown,"Dealing with maintenance issues, poor property condition, and lease violations in this apartment was incredibly challenging. It felt like every day brought a new set of problems to deal with."
49,2023-01-16 13:34:00,1,Agency,RE/MAX Australia,Flat/Unit,150,1,Newtown,"Lease violations were a recurring problem in this apartment. It's frustrating when the landlord doesn't adhere to the terms we agreed upon, as it creates an atmosphere of uncertainty and distrust."
50,2023-01-01 03:12:00,4,Agency,Ray White Group,Flat/Unit,295,2,Camperdown,"The poor property condition and lease violations in this apartment were concerning. It felt like the landlord wasn't holding up their end of the bargain, which made it hard to feel secure in my living situation."
51,2023-04-10 15:19:00,4,Agency,Ray White Group,Flat/Unit,300,1,Redfern,Dealing with maintenance issues and lease violations made living in this apartment challenging. It's disheartening when the place you call home is fraught with issues that seem to never be fully resolved.
52,2023-06-18 04:53:00,2,Agency,Raine & Horne,Flat/Unit,245,2,Newtown,"Living in this apartment was disappointing due to the poor property condition and frequent lease violations. It felt like the landlord was neglecting their responsibilities, which made it challenging to feel comfortable in the space."
53,2023-08-21 08:44:00,3,Private,,Flat/Unit,265,2,Newtown,"Maintenance issues were a constant hassle in this apartment. It felt like there was always something that needed fixing, which made it difficult to fully enjoy living here."
54,2023-02-07 01:03:00,5,Agency,McGrath Estate Agents,Flat/Unit,400,2,Redfern,"Dealing with pest problems and lease violations in this apartment was incredibly frustrating. It felt like no matter how many times I raised concerns, they were never fully addressed."
55,2023-09-02 23:24:00,4,Agency,First National Real Estate,Flat/Unit,305,2,Camperdown,"From maintenance issues to pest problems, poor property condition, and lease violations, this apartment had it all. It felt like there was always something to deal with, which made for a rather stressful living situation."
56,2023-10-19 20:39:00,2,Agency,Professionals Real Estate Group,Flat/Unit,250,2,Newtown,Pest problems and poor property condition made living in this apartment less than ideal. It's hard to feel comfortable in a space that feels neglected and overrun by pests.
57,2023-03-09 10:53:00,2,Agency,Raine & Horne,Flat/Unit,250,2,Newtown,"Maintenance issues and lease violations were ongoing problems in this apartment. It felt like the landlord wasn't holding up their end of the bargain, which made it hard to feel secure in my living situation."
58,2023-06-01 02:32:00,5,Agency,LJ Hooker,Flat/Unit,315,2,Camperdown,"The poor property condition and lease violations in this apartment were concerning. It felt like the landlord wasn't taking their responsibilities seriously, which made me question the long-term viability of living here."
59,2023-07-09 06:35:00,1,Agency,Raine & Horne,Flat/Unit,195,1,Camperdown,"Communication problems, pest issues, and poor property condition made my time in this apartment incredibly challenging. It felt like there was a lack of care and attention to the living environment."
60,2023-06-14 10:59:00,1,Agency,Belle Property,Flat/Unit,140,1,Newtown,"Dealing with maintenance issues, poor property condition, and lease violations in this apartment was incredibly challenging. It felt like every day brought a new set of problems to deal with."
61,2023-10-19 03:18:00,1,Agency,Professionals Real Estate Group,Flat/Unit,150,1,Newtown,No problems were encountered during my stay in this apartment. It provided a comfortable and hassle-free living environment.
62,2023-12-16 15:07:00,3,Agency,LJ Hooker,Flat/Unit,255,2,Newtown,"The poor property condition and frequent lease violations made living in this apartment less than enjoyable. It felt like the landlord wasn't meeting their obligations, which created a sense of unease."
63,2023-10-18 19:39:00,5,Agency,LJ Hooker,Flat/Unit,410,2,Redfern,"Pest problems and lease violations were ongoing issues in this apartment. It felt like no matter what measures I took, the situation never improved."
64,2023-01-29 09:20:00,3,Agency,Century 21 Australia,Flat/Unit,240,2,Newtown,No problems were encountered during my stay in this apartment. It provided a comfortable and hassle-free living environment.
65,2023-10-20 23:55:00,4,Agency,Belle Property,Flat/Unit,295,2,Camperdown,"Dealing with pest problems and poor property condition in this apartment was incredibly frustrating. It felt like no matter what I did, I couldn't escape the issues."
66,2023-01-25 05:47:00,4,Agency,Belle Property,Flat/Unit,305,2,Camperdown,"From maintenance issues to pest problems and lease violations, this apartment had it all. It felt like there was always something to deal with, which made for a rather stressful living situation."
67,2023-03-27 21:26:00,3,Private,,Flat/Unit,300,2,Camperdown,"Pest problems and lease violations made living in this apartment challenging. It felt like the landlord wasn't taking the necessary steps to address these issues, which left me feeling unsettled."
68,2023-02-25 17:27:00,1,Agency,First National Real Estate,Flat/Unit,140,1,Newtown,"Pest problems were a constant source of frustration in this apartment. It felt like no matter what measures I took, I couldn't fully rid the space of unwanted pests."
69,2023-03-13 21:31:00,3,Private,,Flat/Unit,260,2,Newtown,"Dealing with pests was a recurring issue in this apartment. Despite efforts to address the problem, it felt like the infestation was never fully resolved."
70,2023-07-12 07:21:00,2,Agency,RE/MAX Australia,Flat/Unit,195,1,Camperdown,"The poor property condition of this apartment was undeniable. From outdated appliances to worn-out flooring, it felt like there was a constant battle against the aging infrastructure."
71,2023-09-02 11:52:00,4,Private,,Flat/Unit,300,1,Redfern,"The poor property condition and lease violations in this apartment were concerning. It felt like the landlord wasn't meeting their obligations, which created a sense of unease."
72,2023-06-21 04:43:00,1,Agency,Harcourts,Flat/Unit,140,1,Newtown,"Dealing with pest problems, poor property condition, and lease violations made living in this apartment incredibly challenging. It felt like every aspect of my living situation was fraught with issues, and it left me feeling stressed and unsettled."
73,2023-12-16 07:54:00,4,Private,,Flat/Unit,325,2,Camperdown,"Communication problems, poor property condition, and lease violations made my time in this apartment incredibly frustrating. It's disheartening when the place you call home is fraught with issues that seem to never be fully resolved."
74,2023-03-29 11:11:00,5,Agency,Belle Property,Flat/Unit,410,2,Redfern,"Pest problems and lease violations were ongoing issues in this apartment. It felt like no matter what measures I took, the situation never improved."
75,2023-10-05 18:47:00,4,Agency,Raine & Horne,Flat/Unit,295,2,Camperdown,No problems were encountered during my stay in this apartment. It provided a comfortable and hassle-free living environment.
76,2023-11-13 17:54:00,1,Agency,Raine & Horne,Flat/Unit,155,1,Newtown,"Lease violations were a significant issue in this apartment. It felt like the terms of our agreement were constantly being disregarded, which made me question the reliability of the landlord."
77,2023-07-24 14:12:00,4,Agency,First National Real Estate,Flat/Unit,300,1,Redfern,No problems were encountered during my stay in this apartment. It provided a comfortable and hassle-free living environment.
78,2023-06-16 01:33:00,5,Agency,Raine & Horne,Flat/Unit,390,2,Redfern,"The poor property condition and lease violations in this apartment were concerning. It felt like the landlord wasn't holding up their end of the bargain, which made it hard to feel secure in my living situation."
79,2023-08-06 00:16:00,2,Agency,Raine & Horne,Flat/Unit,235,2,Newtown,"Communication problems, pest issues, and lease violations made my time in this apartment incredibly challenging. It felt like there was a lack of care and attention to the living environment."
80,2023-06-06 02:04:00,1,Agency,Harcourts,Flat/Unit,150,1,Newtown,"Dealing with pest problems, poor property condition, and lease violations in this apartment was incredibly challenging. It felt like every aspect of my living situation was fraught with issues, and it left me feeling stressed and unsettled."
81,2023-07-22 02:10:00,1,Agency,Raine & Horne,Flat/Unit,155,1,Newtown,"The poor property condition and frequent lease violations made living in this apartment less than enjoyable. It felt like the landlord wasn't meeting their obligations, which created a sense of unease."
82,2023-06-01 18:20:00,3,Agency,Raine & Horne,Flat/Unit,290,1,Redfern,Pest problems and poor property condition made living in this apartment less than ideal. It's hard to feel comfortable in a space that feels neglected and overrun by pests.
83,2023-05-26 18:30:00,2,Agency,Professionals Real Estate Group,Flat/Unit,195,1,Camperdown,"Pest problems were a constant source of frustration in this apartment. It felt like no matter what measures I took, I couldn't fully rid the space of unwanted pests."
84,2023-09-11 02:32:00,2,Agency,Raine & Horne,Flat/Unit,215,1,Camperdown,"The poor property condition of this apartment was undeniable. From outdated appliances to worn-out flooring, it felt like there was a constant battle against the aging infrastructure."
85,2023-02-03 19:08:00,2,Agency,Harcourts,Flat/Unit,205,1,Camperdown,"Dealing with pest problems, poor property condition, and lease violations made living in this apartment incredibly challenging. It felt like every aspect of my living situation was fraught with issues, and it left me feeling stressed and unsettled."
86,2023-03-02 14:54:00,3,Agency,Century 21 Australia,Flat/Unit,260,2,Newtown,"Pest problems and lease violations were ongoing issues in this apartment. It felt like the landlord wasn't taking the necessary steps to address these issues, which left me feeling unsettled."
87,2023-11-06 20:04:00,1,Agency,McGrath Estate Agents,Flat/Unit,160,1,Newtown,"Pest problems and lease violations made living in this apartment challenging. It felt like the landlord wasn't taking the necessary steps to address these issues, which left me feeling unsettled."
88,2023-10-08 16:07:00,2,Agency,McGrath Estate Agents,Flat/Unit,200,1,Camperdown,"Dealing with pest problems and lease violations in this apartment was frustrating. It felt like no matter how many times I raised concerns, they were never fully addressed."
89,2023-04-13 10:46:00,3,Agency,Ray White Group,Flat/Unit,260,2,Newtown,"The poor property condition of this apartment was undeniable. From outdated appliances to worn-out flooring, it felt like there was a constant battle against the aging infrastructure."
90,2023-05-18 07:49:00,1,Private,,Flat/Unit,155,1,Newtown,"Pest problems and poor property condition made living in this apartment challenging. It felt like the landlord wasn't taking their responsibilities seriously, which made me question the long-term viability of living here."
91,2023-12-04 01:46:00,5,Agency,McGrath Estate Agents,Flat/Unit,315,2,Camperdown,"Maintenance issues were a recurring problem in this apartment. It felt like there was always something that needed fixing, which made it difficult to fully enjoy living here."
92,2023-10-25 18:43:00,2,Agency,Belle Property,Flat/Unit,210,1,Camperdown,"Pest problems were a constant source of frustration in this apartment. It felt like no matter what measures I took, I couldn't fully rid the space of unwanted pests."
93,2023-08-12 14:55:00,2,Agency,Harcourts,Flat/Unit,245,2,Newtown,"Dealing with pest problems and poor property condition in this apartment was incredibly frustrating. It felt like no matter what I did, I couldn't escape the issues."
94,2023-03-22 14:56:00,4,Agency,Ray White Group,Flat/Unit,300,1,Redfern,"Pest problems were a recurring issue in this apartment. Despite efforts to address the problem, it felt like the infestation was never fully resolved."
95,2023-01-17 02:35:00,1,Agency,McGrath Estate Agents,Flat/Unit,140,1,Newtown,"Pest problems and lease violations were ongoing issues in this apartment. It felt like the landlord wasn't taking the necessary steps to address these issues, which left me feeling unsettled."
96,2023-06-06 23:28:00,4,Agency,Ray White Group,Flat/Unit,305,1,Redfern,"From maintenance issues to pest problems, living in this apartment was far from ideal. It felt like there was always something that needed attention, which made it hard to fully relax."
97,2023-09-02 20:04:00,4,Agency,LJ Hooker,Flat/Unit,300,1,Redfern,"Pest problems and lease violations made living in this apartment challenging. It felt like the landlord wasn't holding up their end of the bargain, which created a sense of uncertainty."
98,2023-10-29 13:36:00,5,Agency,RE/MAX Australia,Flat/Unit,400,2,Redfern,"The poor property condition of this apartment was disappointing. From outdated fixtures to peeling paint, it felt like there was a lack of care and attention to maintaining the space."
99,2023-11-07 09:05:00,5,Private,,Flat/Unit,400,2,Redfern,"Dealing with pest problems was a recurring issue in this apartment. Despite efforts to address the problem, it felt like the infestation was never fully resolved."
100,2023-01-12 22:19:00,5,Agency,RE/MAX Australia,Flat/Unit,400,2,Redfern,"Pest problems, poor property condition, and frequent lease violations made living in this apartment incredibly challenging. It felt like every day brought a new set of problems to deal with."
101,2023-03-30 20:57:00,3,Agency,Ray White Group,Flat/Unit,255,2,Newtown,"Living in this apartment was marred by frequent lease violations, which created a sense of uncertainty and instability. It's disappointing when the terms of the lease agreement aren't upheld."
102,2023-05-04 10:19:00,4,Agency,Harcourts,Flat/Unit,300,2,Camperdown,"Dealing with lease violations in this apartment was frustrating. It felt like the landlord wasn't respecting the terms outlined in the lease agreement, which created unnecessary stress."
103,2023-03-10 16:45:00,5,Agency,RE/MAX Australia,Flat/Unit,400,2,Redfern,"Pest problems were a significant issue in this apartment, making it challenging to feel comfortable and at ease. Despite efforts to address the issue, it felt like the infestation was persistent."
104,2023-10-20 06:47:00,4,Private,,Flat/Unit,305,1,Redfern,"From maintenance issues to pest problems and poor property condition, this apartment was far from ideal. It felt like there was always something that needed attention, which detracted from the overall living experience."
105,2023-10-07 08:34:00,4,Agency,Century 21 Australia,Flat/Unit,295,1,Redfern,"Lease violations were a recurring problem in this apartment, making it difficult to feel secure in my living situation. It's essential for landlords to adhere to the terms outlined in the lease agreement."
106,2023-07-08 03:03:00,1,Agency,McGrath Estate Agents,Flat/Unit,140,1,Newtown,"Maintenance issues were a constant hassle in this apartment, detracting from an otherwise enjoyable living experience. It's frustrating when basic upkeep isn't prioritized."
107,2023-12-24 18:50:00,2,Agency,Belle Property,Flat/Unit,210,1,Camperdown,"Communication problems and frequent lease violations made living in this apartment challenging. It felt like there was a lack of transparency and accountability, which created unnecessary stress."
108,2023-02-22 10:29:00,3,Agency,Ray White Group,Flat/Unit,295,1,Redfern,"The poor property condition and frequent lease violations in this apartment were disappointing. It felt like the landlord wasn't meeting their responsibilities, which impacted my overall satisfaction with the living environment."
109,2023-11-24 11:21:00,5,Agency,RE/MAX Australia,Flat/Unit,390,2,Redfern,"Dealing with maintenance issues, pest problems, and poor property condition in this apartment was incredibly frustrating. It felt like there was always something that needed attention, which detracted from the overall quality of living."
110,2023-02-12 09:25:00,1,Private,,Flat/Unit,150,1,Newtown,Pest problems and frequent lease violations made living in this apartment challenging. It's crucial for landlords to address these issues promptly to ensure a comfortable living environment.
111,2023-03-01 09:33:00,5,Agency,RE/MAX Australia,Flat/Unit,315,1,Redfern,"Lease violations were a recurring issue in this apartment, which created a sense of unease and uncertainty. It's essential for landlords to respect the terms outlined in the lease agreement."
112,2023-09-11 10:10:00,1,Private,,Flat/Unit,190,1,Camperdown,"Frequent lease violations made living in this apartment challenging. It's disappointing when the terms of the lease agreement aren't upheld, as it creates unnecessary stress for tenants."
113,2023-02-09 21:12:00,3,Agency,RE/MAX Australia,Flat/Unit,300,2,Camperdown,"From maintenance issues to pest problems and frequent lease violations, this apartment had it all. It felt like there was always something to deal with, which detracted from the overall quality of living."
114,2023-07-25 23:13:00,5,Agency,Harcourts,Flat/Unit,410,2,Redfern,"The poor property condition and frequent lease violations in this apartment were concerning. It felt like the landlord wasn't meeting their obligations, which impacted my overall satisfaction with the living environment."
115,2023-06-02 23:09:00,2,Private,,Flat/Unit,240,2,Newtown,Dealing with lease violations in this apartment was frustrating. It's essential for landlords to adhere to the terms outlined in the lease agreement to ensure a positive living experience for tenants.
116,2023-09-23 03:56:00,4,Agency,RE/MAX Australia,Flat/Unit,310,2,Camperdown,"Lease violations were a recurring problem in this apartment, creating a sense of uncertainty and instability. It's crucial for landlords to respect the terms of the lease agreement to maintain a positive landlord-tenant relationship."
117,2023-11-24 20:17:00,1,Private,,Flat/Unit,150,1,Newtown,The poor property condition and frequent lease violations in this apartment made living here less than ideal. It's essential for landlords to prioritize property upkeep and adhere to the terms outlined in the lease agreement.
118,2023-10-08 05:35:00,3,Agency,Raine & Horne,Flat/Unit,285,2,Camperdown,"Lease violations were a recurring issue in this apartment, detracting from an otherwise enjoyable living experience. It's crucial for landlords to respect the terms outlined in the lease agreement to ensure tenant satisfaction."
119,2023-11-06 06:53:00,2,Private,,Flat/Unit,190,1,Camperdown,Dealing with lease violations in this apartment was frustrating and stressful. It's crucial for landlords to uphold the terms outlined in the lease agreement to maintain a positive landlord-tenant relationship.
120,2023-01-12 23:48:00,5,Agency,RE/MAX Australia,Flat/Unit,405,2,Redfern,Pest problems and poor property condition detracted from the overall quality of living in this apartment. It's crucial for landlords to address these issues promptly to ensure tenant satisfaction.
121,2023-04-23 21:52:00,3,Agency,Belle Property,Flat/Unit,295,2,Camperdown,No problems were encountered during my stay in this apartment. It provided a comfortable and hassle-free living environment.
122,2023-07-07 14:49:00,4,Agency,LJ Hooker,Flat/Unit,305,1,Redfern,No problems were encountered during my stay in this apartment. It provided a comfortable and hassle-free living environment.
123,2023-06-01 09:46:00,3,Private,,Flat/Unit,300,2,Camperdown,"Dealing with pest problems, poor property condition, and frequent lease violations made living in this apartment challenging. It's crucial for landlords to address these issues promptly to ensure tenant satisfaction."
124,2023-03-26 04:14:00,2,Agency,First National Real Estate,Flat/Unit,195,1,Camperdown,"Pest problems were a significant issue in this apartment, making it challenging to feel comfortable and at ease. Despite efforts to address the issue, it felt like the infestation was persistent."
125,2023-04-23 01:35:00,1,Agency,Professionals Real Estate Group,Flat/Unit,180,1,Camperdown,Pest problems and poor property condition detracted from the overall quality of living in this apartment. It's crucial for landlords to address these issues promptly to ensure tenant satisfaction.
126,2023-12-11 03:17:00,5,Agency,RE/MAX Australia,Flat/Unit,395,2,Redfern,Pest problems and frequent lease violations made living in this apartment challenging. It's essential for landlords to uphold the terms outlined in the lease agreement to maintain a positive landlord-tenant relationship.
127,2023-04-18 01:57:00,2,Agency,Harcourts,Flat/Unit,210,1,Camperdown,"The poor property condition and frequent lease violations in this apartment were disappointing. It felt like the landlord wasn't meeting their responsibilities, which impacted my overall satisfaction with the living environment."
128,2023-05-09 19:42:00,1,Agency,Ray White Group,Flat/Unit,190,1,Camperdown,"From maintenance issues to pest problems and frequent lease violations, this apartment had it all. It felt like there was always something to deal with, which detracted from the overall quality of living."
129,2023-01-02 08:24:00,1,Agency,Ray White Group,Flat/Unit,145,1,Newtown,Pest problems and poor property condition detracted from the overall quality of living in this apartment. It's crucial for landlords to address these issues promptly to ensure tenant satisfaction.
130,2023-11-04 14:35:00,2,Agency,First National Real Estate,Flat/Unit,215,2,Newtown,No problems were encountered during my stay in this apartment. It provided a comfortable and hassle-free living environment.
131,2023-02-26 08:41:00,4,Agency,Ray White Group,Flat/Unit,300,2,Camperdown,No problems were encountered during my stay in this apartment. It provided a comfortable and hassle-free living environment.
132,2023-03-16 07:24:00,5,Agency,First National Real Estate,Flat/Unit,395,2,Redfern,Pest problems and frequent lease violations made living in this apartment challenging. It's essential for landlords to uphold the terms outlined in the lease agreement to maintain a positive landlord-tenant relationship.
133,2023-04-03 21:59:00,3,Agency,Harcourts,Flat/Unit,265,2,Newtown,Pest problems and frequent lease violations made living in this apartment challenging. It's essential for landlords to uphold the terms outlined in the lease agreement to maintain a positive landlord-tenant relationship.
134,2023-11-19 00:03:00,5,Agency,Harcourts,Flat/Unit,400,2,Redfern,Dealing with lease violations in this apartment was frustrating. It's essential for landlords to adhere to the terms outlined in the lease agreement to ensure a positive living experience for tenants.
